index,model,file,prompt,clap_similarity
0,AudioLDM2,000__solo piano classical sonata_ concert hall_ expressive dynami.wav,"solo piano classical sonata, concert hall, expressive dynamics, clear articulation",0.4685214161872864
0,AudioLDM2-music,000__solo piano classical sonata_ concert hall_ expressive dynami.wav,"solo piano classical sonata, concert hall, expressive dynamics, clear articulation",0.3337721526622772
1,AudioLDM2,001__solo piano romantic piece_ warm room_ emotional performance.wav,"solo piano romantic piece, warm room, emotional performance, sustained pedaling",0.5195538401603699
1,AudioLDM2-music,001__solo piano romantic piece_ warm room_ emotional performance.wav,"solo piano romantic piece, warm room, emotional performance, sustained pedaling",0.4666854441165924
2,AudioLDM2,002__solo piano baroque style_ dry studio_ precise fingerwork_ ha.wav,"solo piano baroque style, dry studio, precise fingerwork, harpsichord-like tone",0.4866351783275604
2,AudioLDM2-music,002__solo piano baroque style_ dry studio_ precise fingerwork_ ha.wav,"solo piano baroque style, dry studio, precise fingerwork, harpsichord-like tone",0.40390750765800476
3,AudioLDM2,003__solo piano contemporary composition_ intimate space_ complex.wav,"solo piano contemporary composition, intimate space, complex harmonies, percussive elements",0.585559070110321
3,AudioLDM2-music,003__solo piano contemporary composition_ intimate space_ complex.wav,"solo piano contemporary composition, intimate space, complex harmonies, percussive elements",0.4199238717556
4,AudioLDM2,004__solo piano chopin nocturne_ large hall_ rubato phrasing_ del.wav,"solo piano chopin nocturne, large hall, rubato phrasing, delicate touch",0.5184659957885742
4,AudioLDM2-music,004__solo piano chopin nocturne_ large hall_ rubato phrasing_ del.wav,"solo piano chopin nocturne, large hall, rubato phrasing, delicate touch",0.3965250253677368
5,AudioLDM2,005__solo piano beethoven sonata_ medium room_ powerful chords_ d.wav,"solo piano beethoven sonata, medium room, powerful chords, dramatic contrasts",0.5743904113769531
5,AudioLDM2-music,005__solo piano beethoven sonata_ medium room_ powerful chords_ d.wav,"solo piano beethoven sonata, medium room, powerful chords, dramatic contrasts",0.5380486249923706
6,AudioLDM2,006__solo piano jazz improvisation_ club atmosphere_ swing rhythm.wav,"solo piano jazz improvisation, club atmosphere, swing rhythm, bluesy notes",0.6001989245414734
6,AudioLDM2-music,006__solo piano jazz improvisation_ club atmosphere_ swing rhythm.wav,"solo piano jazz improvisation, club atmosphere, swing rhythm, bluesy notes",0.516239583492279
7,AudioLDM2,007__solo piano minimalistic piece_ small chamber_ repetitive pat.wav,"solo piano minimalistic piece, small chamber, repetitive patterns, meditative quality",0.6359143853187561
7,AudioLDM2-music,007__solo piano minimalistic piece_ small chamber_ repetitive pat.wav,"solo piano minimalistic piece, small chamber, repetitive patterns, meditative quality",0.3068762421607971
