index,model,file,prompt,clap_similarity
0,AudioLDM2-external_adapter,000__solo_piano_classical_sonata__concert_hall__expressive_dynami.wav,"solo piano classical sonata, concert hall, expressive dynamics, clear articulation",-0.14658838510513306
0,AudioLDM2-mlp_adapter,000__solo_piano_classical_sonata__concert_hall__expressive_dynami.wav,"solo piano classical sonata, concert hall, expressive dynamics, clear articulation",-0.14653588831424713
1,AudioLDM2-external_adapter,001__solo_piano_romantic_piece__warm_room__emotional_performance_.wav,"solo piano romantic piece, warm room, emotional performance, sustained pedaling",0.33722060918807983
1,AudioLDM2-mlp_adapter,001__solo_piano_romantic_piece__warm_room__emotional_performance_.wav,"solo piano romantic piece, warm room, emotional performance, sustained pedaling",0.3379826545715332
2,AudioLDM2-external_adapter,002__solo_piano_baroque_style__dry_studio__precise_fingerwork__ha.wav,"solo piano baroque style, dry studio, precise fingerwork, harpsichord-like tone",0.0935542955994606
2,AudioLDM2-mlp_adapter,002__solo_piano_baroque_style__dry_studio__precise_fingerwork__ha.wav,"solo piano baroque style, dry studio, precise fingerwork, harpsichord-like tone",0.09373579919338226
3,AudioLDM2-external_adapter,003__solo_piano_contemporary_composition__intimate_space__complex.wav,"solo piano contemporary composition, intimate space, complex harmonies, percussive elements",0.49712496995925903
3,AudioLDM2-mlp_adapter,003__solo_piano_contemporary_composition__intimate_space__complex.wav,"solo piano contemporary composition, intimate space, complex harmonies, percussive elements",0.4963386654853821
4,AudioLDM2-external_adapter,004__solo_piano_chopin_nocturne__large_hall__rubato_phrasing__del.wav,"solo piano chopin nocturne, large hall, rubato phrasing, delicate touch",0.21272513270378113
4,AudioLDM2-mlp_adapter,004__solo_piano_chopin_nocturne__large_hall__rubato_phrasing__del.wav,"solo piano chopin nocturne, large hall, rubato phrasing, delicate touch",0.18953070044517517
5,AudioLDM2-external_adapter,005__solo_piano_beethoven_sonata__medium_room__powerful_chords__d.wav,"solo piano beethoven sonata, medium room, powerful chords, dramatic contrasts",0.11801615357398987
5,AudioLDM2-mlp_adapter,005__solo_piano_beethoven_sonata__medium_room__powerful_chords__d.wav,"solo piano beethoven sonata, medium room, powerful chords, dramatic contrasts",0.11693708598613739
6,AudioLDM2-external_adapter,006__solo_piano_jazz_improvisation__club_atmosphere__swing_rhythm.wav,"solo piano jazz improvisation, club atmosphere, swing rhythm, bluesy notes",0.6673868894577026
6,AudioLDM2-mlp_adapter,006__solo_piano_jazz_improvisation__club_atmosphere__swing_rhythm.wav,"solo piano jazz improvisation, club atmosphere, swing rhythm, bluesy notes",0.6669752597808838
7,AudioLDM2-external_adapter,007__solo_piano_minimalistic_piece__small_chamber__repetitive_pat.wav,"solo piano minimalistic piece, small chamber, repetitive patterns, meditative quality",0.21331839263439178
7,AudioLDM2-mlp_adapter,007__solo_piano_minimalistic_piece__small_chamber__repetitive_pat.wav,"solo piano minimalistic piece, small chamber, repetitive patterns, meditative quality",0.21641138195991516
8,AudioLDM2-external_adapter,008__solo_piano_fast_etude__bright_room__technical_virtuosity__ra.wav,"solo piano fast etude, bright room, technical virtuosity, rapid scales",0.03373067080974579
8,AudioLDM2-mlp_adapter,008__solo_piano_fast_etude__bright_room__technical_virtuosity__ra.wav,"solo piano fast etude, bright room, technical virtuosity, rapid scales",0.03158247098326683
9,AudioLDM2-external_adapter,009__solo_piano_slow_ballad__intimate_setting__emotional_melody_.wav,"solo piano slow ballad, intimate setting, emotional melody, soft dynamics",0.15768961608409882
9,AudioLDM2-mlp_adapter,009__solo_piano_slow_ballad__intimate_setting__emotional_melody_.wav,"solo piano slow ballad, intimate setting, emotional melody, soft dynamics",0.15404191613197327
10,AudioLDM2-external_adapter,010__solo_violin_classical_concerto__concert_hall__virtuosic_perf.wav,"solo violin classical concerto, concert hall, virtuosic performance, rich vibrato",0.02634132280945778
10,AudioLDM2-mlp_adapter,010__solo_violin_classical_concerto__concert_hall__virtuosic_perf.wav,"solo violin classical concerto, concert hall, virtuosic performance, rich vibrato",0.024247707799077034
11,AudioLDM2-external_adapter,011__solo_cello_baroque_suite__chamber_hall__warm_tone__expressiv.wav,"solo cello baroque suite, chamber hall, warm tone, expressive bowing",0.1681690216064453
11,AudioLDM2-mlp_adapter,011__solo_cello_baroque_suite__chamber_hall__warm_tone__expressiv.wav,"solo cello baroque suite, chamber hall, warm tone, expressive bowing",0.166904479265213
12,AudioLDM2-external_adapter,012__solo_flute_mozart_concerto__medium_room__airy_sound__precise.wav,"solo flute mozart concerto, medium room, airy sound, precise articulation",-0.055990930646657944
12,AudioLDM2-mlp_adapter,012__solo_flute_mozart_concerto__medium_room__airy_sound__precise.wav,"solo flute mozart concerto, medium room, airy sound, precise articulation",-0.0582917146384716
13,AudioLDM2-external_adapter,013__solo_clarinet_romantic_piece__warm_space__mellow_timbre__smo.wav,"solo clarinet romantic piece, warm space, mellow timbre, smooth legato",0.33427631855010986
13,AudioLDM2-mlp_adapter,013__solo_clarinet_romantic_piece__warm_space__mellow_timbre__smo.wav,"solo clarinet romantic piece, warm space, mellow timbre, smooth legato",0.3315350413322449
14,AudioLDM2-external_adapter,014__solo_trumpet_fanfare__large_hall__bright_brass__strong_attac.wav,"solo trumpet fanfare, large hall, bright brass, strong attack",0.4617545008659363
14,AudioLDM2-mlp_adapter,014__solo_trumpet_fanfare__large_hall__bright_brass__strong_attac.wav,"solo trumpet fanfare, large hall, bright brass, strong attack",0.46955007314682007
