index,model,file,prompt,clap_similarity
0,AudioLDM1-external_adapter,000__solo_piano_classical_sonata__concert_hall__expressive_dynami.wav,"solo piano classical sonata, concert hall, expressive dynamics, clear articulation",0.38256216049194336
0,AudioLDM1-mlp_adapter,000__solo_piano_classical_sonata__concert_hall__expressive_dynami.wav,"solo piano classical sonata, concert hall, expressive dynamics, clear articulation",0.41006186604499817
1,AudioLDM1-external_adapter,001__solo_piano_romantic_piece__warm_room__emotional_performance_.wav,"solo piano romantic piece, warm room, emotional performance, sustained pedaling",0.3381119966506958
1,AudioLDM1-mlp_adapter,001__solo_piano_romantic_piece__warm_room__emotional_performance_.wav,"solo piano romantic piece, warm room, emotional performance, sustained pedaling",0.33320051431655884
2,AudioLDM1-external_adapter,002__solo_piano_baroque_style__dry_studio__precise_fingerwork__ha.wav,"solo piano baroque style, dry studio, precise fingerwork, harpsichord-like tone",0.4917185604572296
2,AudioLDM1-mlp_adapter,002__solo_piano_baroque_style__dry_studio__precise_fingerwork__ha.wav,"solo piano baroque style, dry studio, precise fingerwork, harpsichord-like tone",0.4950229823589325
3,AudioLDM1-external_adapter,003__solo_piano_contemporary_composition__intimate_space__complex.wav,"solo piano contemporary composition, intimate space, complex harmonies, percussive elements",0.4974614381790161
3,AudioLDM1-mlp_adapter,003__solo_piano_contemporary_composition__intimate_space__complex.wav,"solo piano contemporary composition, intimate space, complex harmonies, percussive elements",0.5035731196403503
4,AudioLDM1-external_adapter,004__solo_piano_chopin_nocturne__large_hall__rubato_phrasing__del.wav,"solo piano chopin nocturne, large hall, rubato phrasing, delicate touch",0.6513656377792358
4,AudioLDM1-mlp_adapter,004__solo_piano_chopin_nocturne__large_hall__rubato_phrasing__del.wav,"solo piano chopin nocturne, large hall, rubato phrasing, delicate touch",0.6560437679290771
5,AudioLDM1-external_adapter,005__solo_piano_beethoven_sonata__medium_room__powerful_chords__d.wav,"solo piano beethoven sonata, medium room, powerful chords, dramatic contrasts",0.6069601774215698
5,AudioLDM1-mlp_adapter,005__solo_piano_beethoven_sonata__medium_room__powerful_chords__d.wav,"solo piano beethoven sonata, medium room, powerful chords, dramatic contrasts",0.6098973751068115
6,AudioLDM1-external_adapter,006__solo_piano_jazz_improvisation__club_atmosphere__swing_rhythm.wav,"solo piano jazz improvisation, club atmosphere, swing rhythm, bluesy notes",0.6820691823959351
6,AudioLDM1-mlp_adapter,006__solo_piano_jazz_improvisation__club_atmosphere__swing_rhythm.wav,"solo piano jazz improvisation, club atmosphere, swing rhythm, bluesy notes",0.6795399188995361
7,AudioLDM1-external_adapter,007__solo_piano_minimalistic_piece__small_chamber__repetitive_pat.wav,"solo piano minimalistic piece, small chamber, repetitive patterns, meditative quality",0.4904317855834961
7,AudioLDM1-mlp_adapter,007__solo_piano_minimalistic_piece__small_chamber__repetitive_pat.wav,"solo piano minimalistic piece, small chamber, repetitive patterns, meditative quality",0.490384042263031
8,AudioLDM1-external_adapter,008__solo_piano_fast_etude__bright_room__technical_virtuosity__ra.wav,"solo piano fast etude, bright room, technical virtuosity, rapid scales",0.5512762069702148
