index,model,file,prompt,clap_similarity
0,AudioLDM2-external_adapter,000__solo_piano_classical_sonata__concert_hall__expressive_dynami.wav,"solo piano classical sonata, concert hall, expressive dynamics, clear articulation",-0.14658838510513306
0,AudioLDM2_music-external_adapter,000__solo_piano_classical_sonata__concert_hall__expressive_dynami.wav,"solo piano classical sonata, concert hall, expressive dynamics, clear articulation",-0.09833550453186035
1,AudioLDM2-external_adapter,001__solo_piano_romantic_piece__warm_room__emotional_performance_.wav,"solo piano romantic piece, warm room, emotional performance, sustained pedaling",0.33722060918807983
1,AudioLDM2_music-external_adapter,001__solo_piano_romantic_piece__warm_room__emotional_performance_.wav,"solo piano romantic piece, warm room, emotional performance, sustained pedaling",0.29005032777786255
2,AudioLDM2-external_adapter,002__solo_piano_baroque_style__dry_studio__precise_fingerwork__ha.wav,"solo piano baroque style, dry studio, precise fingerwork, harpsichord-like tone",0.0935542955994606
2,AudioLDM2_music-external_adapter,002__solo_piano_baroque_style__dry_studio__precise_fingerwork__ha.wav,"solo piano baroque style, dry studio, precise fingerwork, harpsichord-like tone",0.05449386686086655
3,AudioLDM2-external_adapter,003__solo_piano_contemporary_composition__intimate_space__complex.wav,"solo piano contemporary composition, intimate space, complex harmonies, percussive elements",0.49712496995925903
3,AudioLDM2_music-external_adapter,003__solo_piano_contemporary_composition__intimate_space__complex.wav,"solo piano contemporary composition, intimate space, complex harmonies, percussive elements",0.3434467315673828
4,AudioLDM2-external_adapter,004__solo_piano_chopin_nocturne__large_hall__rubato_phrasing__del.wav,"solo piano chopin nocturne, large hall, rubato phrasing, delicate touch",0.21272513270378113
4,AudioLDM2_music-external_adapter,004__solo_piano_chopin_nocturne__large_hall__rubato_phrasing__del.wav,"solo piano chopin nocturne, large hall, rubato phrasing, delicate touch",0.20366276800632477
5,AudioLDM2-external_adapter,005__solo_piano_beethoven_sonata__medium_room__powerful_chords__d.wav,"solo piano beethoven sonata, medium room, powerful chords, dramatic contrasts",0.11801615357398987
5,AudioLDM2_music-external_adapter,005__solo_piano_beethoven_sonata__medium_room__powerful_chords__d.wav,"solo piano beethoven sonata, medium room, powerful chords, dramatic contrasts",0.22367942333221436
6,AudioLDM2-external_adapter,006__solo_piano_jazz_improvisation__club_atmosphere__swing_rhythm.wav,"solo piano jazz improvisation, club atmosphere, swing rhythm, bluesy notes",0.6673868894577026
6,AudioLDM2_music-external_adapter,006__solo_piano_jazz_improvisation__club_atmosphere__swing_rhythm.wav,"solo piano jazz improvisation, club atmosphere, swing rhythm, bluesy notes",0.6716862320899963
7,AudioLDM2-external_adapter,007__solo_piano_minimalistic_piece__small_chamber__repetitive_pat.wav,"solo piano minimalistic piece, small chamber, repetitive patterns, meditative quality",0.21331839263439178
7,AudioLDM2_music-external_adapter,007__solo_piano_minimalistic_piece__small_chamber__repetitive_pat.wav,"solo piano minimalistic piece, small chamber, repetitive patterns, meditative quality",0.19526873528957367
8,AudioLDM2-external_adapter,008__solo_piano_fast_etude__bright_room__technical_virtuosity__ra.wav,"solo piano fast etude, bright room, technical virtuosity, rapid scales",0.03373067080974579
8,AudioLDM2_music-external_adapter,008__solo_piano_fast_etude__bright_room__technical_virtuosity__ra.wav,"solo piano fast etude, bright room, technical virtuosity, rapid scales",0.1094413548707962
9,AudioLDM2-external_adapter,009__solo_piano_slow_ballad__intimate_setting__emotional_melody_.wav,"solo piano slow ballad, intimate setting, emotional melody, soft dynamics",0.15768961608409882
9,AudioLDM2_music-external_adapter,009__solo_piano_slow_ballad__intimate_setting__emotional_melody_.wav,"solo piano slow ballad, intimate setting, emotional melody, soft dynamics",0.29981476068496704
